file,peak_coordinate,maximum_distribution_value,weighted_mean_coordinate,number_of_local_peaks
2_4_DiBr_EG_1_P8.xvg,9.25931,128.808,5.753112902991132,4
2_4_DiBr_EG_1_P9.xvg,9.25931,67.7938,5.964943350247833,5
