file,peak_z_coordinate,maximum_density_value,weighted_mean_z_coordinate,number_of_local_peaks
Br_MD_SEMI_2_L.xvg,11.7803,1335.64,6.342295276394702,3
Br_MD_SEMI_2_W_I.xvg,10.4262,1009.09,7.125793069605004,10
